"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT -  GLUER DRIVE FAULT","S00 Start-Up Shut-Down","0.15","Y5","2022-11-09 07:00:00.000","7435A"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.2833333333333333","Y5","2022-11-09 07:00:00.000","7436B"
"UPDT - Printer Fast Stop Shutdown","PLS0 Delivery table jam","0.4166666666666667","R5","2022-11-09 19:00:00.000","7302"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","0.48333333333333334","R5","2022-11-09 19:00:00.000","7301"
"UPDT - WW Coater","PLS0 Delivery table jam","0.5","Y5","2022-11-09 07:00:00.000","7304"
"UPDT - WW Cutter Nip","CQ51 P-C register waste","0.5166666666666667","R5","2022-11-09 19:00:00.000","7304"
"UPDT - Cutter Dancer Roller at Upper Limit","PLRW Rollers metering chrome","0.5666666666666667","R5","2022-11-09 19:00:00.000","7301"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF3 Feed Section","0.6833333333333333","Y5","2022-11-09 07:00:00.000","7436A"
"UPDT - Tower 7 Stop Button","PLS0 Delivery table jam","0.7333333333333333","R5","2022-11-09 19:00:00.000","7302"
"UPDT - WW Tab Breaker","CQ51 P-C register waste","0.7666666666666667","R5","2022-11-09 19:00:00.000","7304"
"Unplanned Downtime","Q19 Doubles","0.8666666666666667","Y5","2022-11-09 07:00:00.000","7434"
"UPDT - WW Coater","PLV0 UV light bulb","1.1333333333333333","Y5","2022-11-09 07:00:00.000","7304"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","CQ14 Scores-Cut-Cracked-Scoreforce","1.2666666666666666","Y5","2022-11-09 07:00:00.000","7301"
"UPDT - WW Festoon","PQU0 Manual Splice","1.2666666666666666","R5","2022-11-09 19:00:00.000","7304"
"UPDT - Infeed Splicer Prepared Shutdown","S03 Start up shut down","1.3","R5","2022-11-09 19:00:00.000","7301"
"UPDT -  HEIBER STOP COMMAND","Q18 Detection- Ejection- Rej Sys","1.5833333333333333","Y5","2022-11-09 07:00:00.000","7435A"
"UPDT -  HEIBER STOP COMMAND","FLF0 First Section-Prefold","1.6333333333333333","Y5","2022-11-09 07:00:00.000","7436A"
"UPDT - Tower 6 Guard Open Fault","PLD6 Printing Decks-Units -Non roll","1.65","R5","2022-11-09 19:00:00.000","7302"
"UPDT - Delivery Tab Breaker Fast Stop Shutdown","CQCJ Die jam","1.6666666666666667","R5","2022-11-09 19:00:00.000","7301"
"Unplanned Downtime","S03 Start up shut down","1.7166666666666666","Y5","2022-11-09 07:00:00.000","7434"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLA0 Auto Packer","1.7333333333333334","Y5","2022-11-09 07:00:00.000","7436B"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","PLS0 Delivery table jam","1.7333333333333334","R5","2022-11-09 19:00:00.000","7302"
"UPDT -  HEIBER STOP COMMAND","Q18 Detection- Ejection- Rej Sys","1.9666666666666666","R5","2022-11-09 19:00:00.000","7436B"
"UPDT - Tower 6 Stop Button","PLA0 Cassettes","1.9833333333333334","Y5","2022-11-09 07:00:00.000","7303"
"UPDT - Fallthrough - Undefined","PLS0 Delivery table jam","2.0166666666666666","Y5","2022-11-09 07:00:00.000","7303"
"UPDT -  LEARY SYSTEM SHUTDOWN","FEDR Feed Tear","2.033333333333333","Y5","2022-11-09 07:00:00.000","7436A"
"UPDT - Tower 3 Guard Open Fault","PLRW Rollers metering chrome","2.05","Y5","2022-11-09 07:00:00.000","7303"
"UPDT - Control Desk Fast Stop Shutdown - 1","PLS0 Delivery table jam","2.1166666666666667","R5","2022-11-09 19:00:00.000","7301"
"UPDT - Tower 5 Stop Button","PQU0 Manual Splice","2.3","Y5","2022-11-09 07:00:00.000","7301"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","2.316666666666667","Y5","2022-11-09 07:00:00.000","7302"
"UPDT -  HEIBER STOP COMMAND","FLW0 Automation - Robotics","2.3666666666666667","R5","2022-11-09 19:00:00.000","7436A"
"UPDT - Delivery Tab Breaker Jam Operator Side - 1","PLS0 Delivery table jam","2.4166666666666665","R5","2022-11-09 19:00:00.000","7302"
"UPDT - Deck 6 Fault","PLV1 Lamp- Shutter or Shield","2.433333333333333","R5","2022-11-09 19:00:00.000","7304"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLW0 Automation - Robotics","2.5166666666666666","Y5","2022-11-09 07:00:00.000","7435A"
"UPDT -  HEIBER STOP COMMAND","FLA0 Auto Packer","2.533333333333333","Y5","2022-11-09 07:00:00.000","7436B"
"UPDT - WW Cutter","PLV0 UV light bulb","2.533333333333333","R5","2022-11-09 19:00:00.000","7304"
"UPDT - Tower 6 Web Break","PLRN Tension control","2.6166666666666667","Y5","2022-11-09 07:00:00.000","7302"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF3 Feed Section","2.6333333333333333","Y5","2022-11-09 07:00:00.000","7435A"
"Unplanned Downtime","FQER Replace - Change Film","2.6333333333333333","R5","2022-11-09 19:00:00.000","7433"
"UPDT - Delivery Table Jam - 1","S03 Start up shut down","2.6333333333333333","R5","2022-11-09 19:00:00.000","7302"
