"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","EQ01 Cello Wrap ups","0.016666666666666666","G6","2022-11-07 07:00:00.000","7436A"
"UPDT -  OP STATION E-STOP","FLW0 Automation - Robotics","0.06666666666666667","G6","2022-11-07 07:00:00.000","7435A"
"UPDT - Delivery Tab Breaker Fast Stop Shutdown","CQ64 Incomplete-poor Cutting","0.35","BL6","2022-11-07 19:00:00.000","7302"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","PLZ0 Palletizer air table","0.38333333333333336","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Delivery Tab Breaker Jam Gear Side","PLS0 Delivery table jam","0.5166666666666667","G6","2022-11-07 07:00:00.000","7303"
"UPDT - Tower 7 Stop Button","PQBT Tighten blankets","0.5833333333333334","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","0.6","BL6","2022-11-07 19:00:00.000","7302"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLW0 Automation - Robotics","0.6833333333333333","G6","2022-11-07 07:00:00.000","7435A"
"UPDT - WW Tab Breaker","CQ16 Die other","0.7166666666666667","BL6","2022-11-07 19:00:00.000","7305"
"UPDT - Cutter Fast Stop Shutdown","LOE Electrical","0.9166666666666666","G6","2022-11-07 07:00:00.000","7302"
"UPDT - Console Normal Stop","PLS0 Delivery table jam","0.9333333333333333","G6","2022-11-07 07:00:00.000","7303"
"UPDT - WW Coater","PLX0 Flexo mech anilox-pattern roll","0.9333333333333333","BL6","2022-11-07 19:00:00.000","7305"
"Unplanned Downtime","S00 Start-Up Shut-Down","0.9666666666666667","G6","2022-11-07 07:00:00.000","7433"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S00 Start-Up Shut-Down","1.1166666666666667","G6","2022-11-07 07:00:00.000","7303"
"UPDT - Tower 7 Stop Button","CQ51 P-C register waste","1.3333333333333333","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Tower 2 Guard Open Fault","CQCL Die jam splice","1.3666666666666667","BL6","2022-11-07 19:00:00.000","7301"
"UPDT - Tower 7 Stop Button","PQPB Plate Cracked","1.3666666666666667","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Fallthrough - Undefined","CQ51 P-C register waste","1.4666666666666666","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Delivery Stop or Guard Relay Bad Switch","CQ51 P-C register waste","1.5333333333333334","G6","2022-11-07 07:00:00.000","7301"
"UPDT - Cutter Fast Stop Shutdown","PQU0 Manual Splice","1.5333333333333334","G6","2022-11-07 07:00:00.000","7303"
"UPDT - Tower 3 Guard Open Fault","LOE Electrical","1.55","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Control Normal Stop Shutdown","S03 Start up shut down","1.5833333333333333","BL6","2022-11-07 19:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","FLF3 Feed Section","1.6333333333333333","G6","2022-11-07 07:00:00.000","7436A"
"UPDT - WW Cutter Nip","CQ51 P-C register waste","1.65","BL6","2022-11-07 19:00:00.000","7304"
"Unplanned Downtime","Unplanned Downtime","1.6666666666666667","BL6","2022-11-07 19:00:00.000","7434"
"UPDT - Console Fast Stop","PLL0 Microcolor","1.7333333333333334","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - WW Tab Breaker","PLRW Rollers metering chrome","1.7833333333333334","G6","2022-11-07 07:00:00.000","7304"
"UPDT - Cutter Fast Stop Shutdown","S03 Start up shut down","1.8666666666666667","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - WW Tab Breaker","S00 Start-Up Shut-Down","1.8833333333333333","G6","2022-11-07 07:00:00.000","7305"
"UPDT - Fallthrough - Undefined","PLL0 Microcolor","2.033333333333333","BL6","2022-11-07 19:00:00.000","7303"
"UPDT - Control Normal Stop Shutdown","PLRW Rollers metering chrome","2.0833333333333335","BL6","2022-11-07 19:00:00.000","7301"
"UPDT - Tower 7 Stop Button","PLRW Rollers metering chrome","2.0833333333333335","G6","2022-11-07 07:00:00.000","7303"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","2.1166666666666667","G6","2022-11-07 07:00:00.000","7302"
"UPDT - WW Cutter Nip","PLZ0 Palletizer air table","2.1666666666666665","BL6","2022-11-07 19:00:00.000","7305"
"UPDT - WW Tab Breaker","CQ51 P-C register waste","2.2","BL6","2022-11-07 19:00:00.000","7305"
"UPDT -  HEIBER STOP COMMAND","FLF0 First Section-Prefold","2.2","BL6","2022-11-07 19:00:00.000","7436A"
"UPDT - Tower 6 Stop Button","PLL0 Microcolor","2.2333333333333334","BL6","2022-11-07 19:00:00.000","7303"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","2.2666666666666666","G6","2022-11-07 07:00:00.000","7436A"
"UPDT - WW Delivery","PLS0 Delivery table jam","2.2666666666666666","BL6","2022-11-07 19:00:00.000","7305"
"UPDT - WW Cutter","PLRW Rollers metering chrome","2.283333333333333","G6","2022-11-07 07:00:00.000","7304"
"Unplanned Downtime","FLA0 Auto Packer","2.3833333333333333","BL6","2022-11-07 19:00:00.000","7434"
"UPDT -  HEIBER STOP COMMAND","FQEA Adjust - Change Knives","2.4166666666666665","BL6","2022-11-07 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLS0 Folding Section-2nd Section","2.45","BL6","2022-11-07 19:00:00.000","7436A"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","PLS0 Delivery table jam","2.45","G6","2022-11-07 07:00:00.000","7302"
"UPDT - Tower 7 Stop Button","CQCP Change Broken Pins","2.5","BL6","2022-11-07 19:00:00.000","7302"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF0 First Section-Prefold","2.533333333333333","G6","2022-11-07 07:00:00.000","7435B"
