"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT - Control Desk Fast Stop Shutdown - 1","S03 Start up shut down","0.26666666666666666","Y5","2022-11-10 07:00:00.000","7303"
"UPDT -  LEARY SYSTEM SHUTDOWN","FQ23 Feed Problems","0.36666666666666664","R5","2022-11-10 19:00:00.000","7436A"
"UPDT -  OP SIDE MATT TRIPPED","WQ00 Automation breakdown","0.4","R5","2022-11-10 19:00:00.000","7436B"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.4166666666666667","Y5","2022-11-10 07:00:00.000","7435B"
"UPDT - WW Tab Breaker","UPDT - WW Tab Breaker","0.4166666666666667","Y5","2022-11-10 07:00:00.000","7305"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.4666666666666667","Y5","2022-11-10 07:00:00.000","7435A"
"UPDT - WW Delivery","PQPO Plate Change Other","0.5166666666666667","Y5","2022-11-10 07:00:00.000","7304"
"UPDT -  LEARY SYSTEM SHUTDOWN","WQ00 Automation breakdown","0.5666666666666667","R5","2022-11-10 19:00:00.000","7436B"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S03 Start up shut down","0.65","R5","2022-11-10 19:00:00.000","7301"
"Unplanned Downtime","Planned Downtime","0.8333333333333334","Y5","2022-11-10 07:00:00.000","7433"
"Unplanned Downtime","EQ01 Cello Wrap ups","1.0666666666666667","Y5","2022-11-10 07:00:00.000","7433"
"UPDT - Cutter Dancer Roller at Lower Limit","PQPA Plate Scratch-Stain-Desensitiz","1.3","R5","2022-11-10 19:00:00.000","7302"
"UPDT - Delivery Tab Breaker Fast Stop Shutdown","PLS0 Delivery table jam","1.3166666666666667","R5","2022-11-10 19:00:00.000","7303"
"Unplanned Downtime","S03 Start up shut down","1.3166666666666667","R5","2022-11-10 19:00:00.000","7434"
"Unplanned Downtime","C00 Line Clearance","1.3666666666666667","R5","2022-11-10 19:00:00.000","7433"
"UPDT - Console Normal Stop","PQPO Plate Change Other","1.3833333333333333","R5","2022-11-10 19:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","FLW0 Automation - Robotics","1.5333333333333334","R5","2022-11-10 19:00:00.000","7436B"
"UPDT - WW Cutter Nip","PLS0 Delivery table jam","1.6166666666666667","Y5","2022-11-10 07:00:00.000","7304"
"UPDT - Delivery Tab Breaker Jam Operator Side - 1","PLS0 Delivery table jam","1.6333333333333333","Y5","2022-11-10 07:00:00.000","7301"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLW0 Automation - Robotics","1.7666666666666666","Y5","2022-11-10 07:00:00.000","7435A"
"UPDT - Cutter Fast Stop Shutdown","PLS0 Delivery table jam","1.7666666666666666","Y5","2022-11-10 07:00:00.000","7301"
"UPDT - WW Delivery","S03 Start up shut down","1.7833333333333334","Y5","2022-11-10 07:00:00.000","7304"
"UPDT - WW Aetek","PLV0 UV light bulb","1.95","R5","2022-11-10 19:00:00.000","7304"
"UPDT -  OP SIDE MATT TRIPPED","FLS0 Folding Section-2nd Section","1.9666666666666666","R5","2022-11-10 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","LQ01 Adhesion-Loose Film","2.0166666666666666","Y5","2022-11-10 07:00:00.000","7435B"
"UPDT -  HEIBER STOP COMMAND","FLA0 Auto Packer","2.1166666666666667","Y5","2022-11-10 07:00:00.000","7435B"
"UPDT - Cutter Fast Stop Shutdown","PQ52 P-P register waste","2.1333333333333333","Y5","2022-11-10 07:00:00.000","7301"
"UPDT - Infeed Reel Stand Arm Safety Shutdown","PLUU Rollstand infeed brakes","2.15","Y5","2022-11-10 07:00:00.000","7303"
"UPDT - Infeed Splicer Prepared Shutdown","PLUS Splicer-unwind","2.2333333333333334","Y5","2022-11-10 07:00:00.000","7303"
"UPDT - WW Cutter Nip","PLL0 Microcolor","2.533333333333333","Y5","2022-11-10 07:00:00.000","7304"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","2.55","Y5","2022-11-10 07:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","Q18 Detection- Ejection- Rej Sys","2.566666666666667","Y5","2022-11-10 07:00:00.000","7435A"
"Unplanned Downtime","S00 Start-Up Shut-Down","2.6","Y5","2022-11-10 07:00:00.000","7433"
"UPDT -  HEIBER STOP COMMAND","EQ01 Cello Wrap ups","2.683333333333333","Y5","2022-11-10 07:00:00.000","7435B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","FLW0 Automation - Robotics","2.7666666666666666","Y5","2022-11-10 07:00:00.000","7435A"
"UPDT - Delivery Tab Breaker Jam Gear Side","CQCJ Die jam","2.816666666666667","R5","2022-11-10 19:00:00.000","7301"
"Unplanned Downtime","Unplanned Downtime","2.8833333333333333","R5","2022-11-10 19:00:00.000","7436B"
"Unplanned Downtime","FMBC Belt Change","2.9","R5","2022-11-10 19:00:00.000","7434"
"UPDT -  HEIBER STOP COMMAND","EQ01 Cello Wrap ups","2.933333333333333","R5","2022-11-10 19:00:00.000","7436A"
"UPDT - Infeed Splicer Prepared Shutdown","PLUS Splicer-unwind","2.933333333333333","R5","2022-11-10 19:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","Q19 Doubles","2.966666666666667","R5","2022-11-10 19:00:00.000","7436A"
"UPDT -  HEIBER STOP COMMAND","FLF3 Feed Section","2.9833333333333334","Y5","2022-11-10 07:00:00.000","7435A"
"UPDT - Delivery Tab Breaker Jam Gear Side","PLS0 Delivery table jam","3.05","Y5","2022-11-10 07:00:00.000","7301"
"UPDT - Delivery Belts Fast Stop Shutdown - 1","PLS0 Delivery table jam","3.1666666666666665","Y5","2022-11-10 07:00:00.000","7301"
"UPDT - WW Cutter","S03 Start up shut down","3.183333333333333","Y5","2022-11-10 07:00:00.000","7305"
"UPDT -  HEIBER STOP COMMAND","U00 Clean Up - Housekeeping","3.2666666666666666","R5","2022-11-10 19:00:00.000","7436A"
"UPDT - Cutter Fast Stop Shutdown","PLS0 Delivery table jam","3.283333333333333","R5","2022-11-10 19:00:00.000","7302"
"UPDT -  HEIBER STOP COMMAND","WQ00 Automation breakdown","3.3333333333333335","R5","2022-11-10 19:00:00.000","7436B"
"UPDT - Infeed Splicer Prepared Shutdown","PLUU Rollstand infeed brakes","3.4","Y5","2022-11-10 07:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","S03 Start up shut down","3.466666666666667","Y5","2022-11-10 07:00:00.000","7435A"
"UPDT - WW Cutter Nip","PLS0 Delivery table jam","3.55","R5","2022-11-10 19:00:00.000","7304"
"Unplanned Downtime","Unplanned Downtime","3.716666666666667","Y5","2022-11-10 07:00:00.000","7433"
"UPDT - Delivery Belts Fast Stop Shutdown - 1","S03 Start up shut down","3.7333333333333334","Y5","2022-11-10 07:00:00.000","7302"
"UPDT -  HEIBER STOP COMMAND","EQ01 Cello Wrap ups","3.85","R5","2022-11-10 19:00:00.000","7436B"
"Unplanned Downtime","S03 Start up shut down","3.95","Y5","2022-11-10 07:00:00.000","7434"
"UPDT -  HEIBER STOP COMMAND","LQ01 Adhesion-Loose Film","4.033333333333333","Y5","2022-11-10 07:00:00.000","7435B"
"UPDT - WW Delivery","S03 Start up shut down","4.2","R5","2022-11-10 19:00:00.000","7305"
"UPDT -  HEIBER STOP COMMAND","FLS0 Folding Section-2nd Section","4.216666666666667","R5","2022-11-10 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","LQ01 Adhesion-Loose Film","4.3","R5","2022-11-10 19:00:00.000","7436A"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","PLRW Rollers metering chrome","4.35","R5","2022-11-10 19:00:00.000","7302"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","CQ64 Incomplete-poor Cutting","4.416666666666667","R5","2022-11-10 19:00:00.000","7303"
