"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"Unplanned Downtime","FLR0 Prefeed Section","0.016666666666666666","G6","2022-11-08 07:00:00.000","7435B"
"UPDT -  OP SIDE MATT TRIPPED","FLW0 Automation - Robotics","0.016666666666666666","G6","2022-11-08 07:00:00.000","7435B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","0.016666666666666666","G6","2022-11-08 07:00:00.000","7436B"
"UPDT - Control Desk Fast Stop Shutdown - 1","LOE Electrical","0.11666666666666667","G6","2022-11-08 07:00:00.000","7302"
"UPDT - Fallthrough - Printer","CQ16 Die other","0.15","BL6","2022-11-08 19:00:00.000","7301"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.2","G6","2022-11-08 07:00:00.000","7435A"
"UPDT - Console Normal Stop","PLS0 Delivery table jam","0.36666666666666664","G6","2022-11-08 07:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","0.43333333333333335","BL6","2022-11-08 19:00:00.000","7436A"
"UPDT -  HEIBER STOP COMMAND","S00 Start-Up Shut-Down","0.5","G6","2022-11-08 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.6","G6","2022-11-08 07:00:00.000","7436A"
"UPDT -  HEIBER STOP COMMAND","S00 Start-Up Shut-Down","0.6333333333333333","G6","2022-11-08 07:00:00.000","7436B"
"UPDT -  LEARY SYSTEM SHUTDOWN","Q19 Doubles","0.75","G6","2022-11-08 07:00:00.000","7436B"
"UPDT -  HEIBER STOP COMMAND","FQER Replace - Change Film","0.9","G6","2022-11-08 07:00:00.000","7435A"
"UPDT - Fallthrough - Printer","PQPO Plate Change Other","0.9","BL6","2022-11-08 19:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","FLA0 Auto Packer","0.9666666666666667","BL6","2022-11-08 19:00:00.000","7436A"
"Unplanned Downtime","S00 Start-Up Shut-Down","1.0666666666666667","G6","2022-11-08 07:00:00.000","7433"
"UPDT - WW Tab Breaker","PLV1 Lamp- Shutter or Shield","1.15","G6","2022-11-08 07:00:00.000","7305"
"UPDT - Cutter Dancer Roller at Lower Limit","PQU0 Manual Splice","1.2","G6","2022-11-08 07:00:00.000","7302"
"UPDT - Cutter Fast Stop Shutdown","CQ51 P-C register waste","1.2666666666666666","G6","2022-11-08 07:00:00.000","7301"
"UPDT - WW Tab Breaker","PQPA Plate Scratch-Stain-Desensitiz","1.2833333333333334","G6","2022-11-08 07:00:00.000","7305"
"Unplanned Downtime","LQ01 Adhesion-Loose Film","1.4","G6","2022-11-08 07:00:00.000","7434"
"Unplanned Downtime","FQ23 Feed Problems","1.5666666666666667","G6","2022-11-08 07:00:00.000","7434"
"UPDT - WW Tab Breaker","PLZ0 Palletizer air table","1.5666666666666667","G6","2022-11-08 07:00:00.000","7305"
"UPDT - Tower 2 Guard Open Fault","PLU0 Unwind","1.6666666666666667","BL6","2022-11-08 19:00:00.000","7301"
"UPDT - Cutter Fast Stop Shutdown","CQ16 Die other","1.7166666666666666","BL6","2022-11-08 19:00:00.000","7301"
"UPDT - Cutter Fast Stop Shutdown","S03 Start up shut down","1.7833333333333334","BL6","2022-11-08 19:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","FQER Replace - Change Film","1.8166666666666667","G6","2022-11-08 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","Q18 Detection- Ejection- Rej Sys","1.85","G6","2022-11-08 07:00:00.000","7435A"
"UPDT -  HEIBER STOP COMMAND","EQ01 Cello Wrap ups","1.9","G6","2022-11-08 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLT0 Trombone Section","2.033333333333333","G6","2022-11-08 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLF0 First Section-Prefold","2.0833333333333335","BL6","2022-11-08 19:00:00.000","7436A"
"UPDT - Control Normal Stop Shutdown","PLL0 Microcolor","2.1","BL6","2022-11-08 19:00:00.000","7303"
"UPDT - WW Delivery","S03 Start up shut down","2.1166666666666667","BL6","2022-11-08 19:00:00.000","7304"
"UPDT -  HEIBER STOP COMMAND","EQ01 Cello Wrap ups","2.1333333333333333","G6","2022-11-08 07:00:00.000","7436A"
"UPDT -  HEIBER STOP COMMAND","FLDL Leary failure","2.183333333333333","G6","2022-11-08 07:00:00.000","7436B"
"UPDT -  HEIBER STOP COMMAND","FLF0 First Section-Prefold","2.3","BL6","2022-11-08 19:00:00.000","7436B"
"UPDT - Delivery Stacker Fast Stop Shutdown - 1","S00 Start-Up Shut-Down","2.316666666666667","BL6","2022-11-08 19:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","FLW0 Automation - Robotics","2.3333333333333335","G6","2022-11-08 07:00:00.000","7435A"
"UPDT - WW Cutter","PLS0 Delivery table jam","2.35","G6","2022-11-08 07:00:00.000","7304"
"UPDT - Cutter Dancer Roller at Lower Limit","LOE Electrical","2.4166666666666665","G6","2022-11-08 07:00:00.000","7302"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","2.466666666666667","G6","2022-11-08 07:00:00.000","7436A"
"Unplanned Downtime","FQ71 Skewed","2.533333333333333","BL6","2022-11-08 19:00:00.000","7433"
"UPDT -  LEARY SYSTEM SHUTDOWN","Q18 Detection- Ejection- Rej Sys","2.5833333333333335","G6","2022-11-08 07:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLT0 Trombone Section","2.6333333333333333","BL6","2022-11-08 19:00:00.000","7436A"
"UPDT -  FEEDER E-STOP PRESSED","FLF3 Feed Section","2.683333333333333","G6","2022-11-08 07:00:00.000","7436A"
"Unplanned Downtime","FLF3 Feed Section","2.7333333333333334","G6","2022-11-08 07:00:00.000","7433"
"UPDT - Infeed Splicer Prepared Shutdown","PLUS Splicer-unwind","2.7333333333333334","BL6","2022-11-08 19:00:00.000","7301"
"UPDT -  HEIBER STOP COMMAND","FLA0 Auto Packer","2.783333333333333","BL6","2022-11-08 19:00:00.000","7436B"
"UPDT - WW Cutter Nip","S03 Start up shut down","2.783333333333333","G6","2022-11-08 07:00:00.000","7304"
"UPDT - WW Splicer","PLU0 Unwind","2.85","G6","2022-11-08 07:00:00.000","7305"
"UPDT - Cutter Fast Stop Shutdown","CQ64 Incomplete-poor Cutting","2.8666666666666667","G6","2022-11-08 07:00:00.000","7303"
"UPDT -  HEIBER STOP COMMAND","UPDT -  HEIBER STOP COMMAND","2.8666666666666667","G6","2022-11-08 07:00:00.000","7436B"
