"Line Downtime Original Reason","Line Downtime Reason","Line State Duration","Scheduled Shift","Scheduled Shift Start Date Time","Line Downtime Equipment Name"
"UPDT -  LEARY SYSTEM SHUTDOWN","EQ01 Cello Wrap ups","0.016666666666666666","G4","2022-10-29 19:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLA0 Auto Packer","0.016666666666666666","G4","2022-10-28 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLS1 Stack Turner","0.016666666666666666","Y3","2022-10-27 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","FLT0 Trombone Section","0.016666666666666666","R3","2022-10-27 07:00:00.000","7435A"
"UPDT -  OP SIDE MATT TRIPPED","FLW0 Automation - Robotics","0.016666666666666666","G3","2022-10-30 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FQ09 Bow - Warp - Curl","0.016666666666666666","BL4","2022-10-28 07:00:00.000","7436B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FQ23 Feed Problems","0.016666666666666666","R3","2022-10-27 07:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","FQER Replace - Change Film","0.016666666666666666","G4","2022-10-28 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","Q18 Detection- Ejection- Rej Sys","0.016666666666666666","G4","2022-10-29 19:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","Q18 Detection- Ejection- Rej Sys","0.016666666666666666","BL4","2022-10-28 07:00:00.000","7436B"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.016666666666666666","Y3","2022-10-27 19:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.016666666666666666","Y3","2022-10-27 19:00:00.000","7435B"
"UPDT -  LEARY SYSTEM SHUTDOWN","S00 Start-Up Shut-Down","0.016666666666666666","G4","2022-10-28 19:00:00.000","7436B"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","S00 Start-Up Shut-Down","0.016666666666666666","G4","2022-10-28 19:00:00.000","7436A"
"UPDT -  OP SIDE MATT TRIPPED","S00 Start-Up Shut-Down","0.016666666666666666","G4","2022-10-28 19:00:00.000","7436A"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","S00 Start-Up Shut-Down","0.016666666666666666","G4","2022-10-29 19:00:00.000","7436A"
"UPDT -  LEARY SYSTEM SHUTDOWN","UPDT -  LEARY SYSTEM SHUTDOWN","0.016666666666666666","R3","2022-10-27 07:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","UPDT -  LEARY SYSTEM SHUTDOWN","0.016666666666666666","G4","2022-10-29 19:00:00.000","7435A"
"UPDT -  LEARY SYSTEM SHUTDOWN","UPDT -  LEARY SYSTEM SHUTDOWN","0.016666666666666666","BL4","2022-10-29 07:00:00.000","7436A"
"UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","UPDT -  OP SIDE LIGHT CURTAIN TRIPPED","0.016666666666666666","G3","2022-10-30 19:00:00.000","7436B"
"UPDT -  LEARY SYSTEM SHUTDOWN","VQ09 Bow-Warp Curl","0.016666666666666666","Y3","2022-10-27 19:00:00.000","7436A"
